"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-10-06,2023-10-06,ACEVICHADO,55-64,8,23,0,,0.07
2023-10-05,2023-10-05,ACEVICHADO,55-64,8,13,0,,0.02
2023-09-19,2023-09-19,"50 MIX",55-64,8,10,0,,0.01
2023-09-02,2023-09-02,"ACEVICHADO ROLL",65+,592,650,16,8,3.29
2023-09-02,2023-09-02,"ACEVICHADO ROLL",55-64,509,548,18,8,1.9
2023-08-31,2023-08-31,"ACEVICHADO ROLL",65+,487,528,14,8,3.45
2023-07-20,2023-07-20,"ACEVICHADO ROLL",35-44,310,326,12,9,0.98
2023-07-19,2023-07-19,"ACEVICHADO ROLL",35-44,801,908,17,10,2.79
2023-03-20,2023-03-20,"BOX CASAL",45-54,469,526,8,32,18.2
2023-03-11,2023-03-11,"BOX CASAL",25-34,834,889,9,38,6.81
2023-02-13,2023-02-13,ACHIFADO,45-54,11,11,0,8,0.03
2023-02-07,2023-02-07,"BOX CASAL",65+,382,393,7,7,5.443754
2023-11-07,2023-11-07,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,736,766,7,11,4.09
2023-01-16,2023-01-16,"BOX CASAL",25-34,9816,11027,111,29,47.55
2023-10-27,2023-10-27,"50 MIX",55-64,7,9,0,,0.04
2023-01-14,2023-01-14,"BOX CASAL",35-44,5720,6129,82,42,57.33
2023-10-24,2023-10-24,ACEVICHADO,35-44,7,8,0,,0.02
2023-01-13,2023-01-13,"BOX CASAL",35-44,6896,7542,116,53,65.95
2023-10-22,2023-10-22,"50 MIX",55-64,7,10,0,,0.05
2023-01-11,2023-01-11,"BOX CASAL",25-34,8176,8469,101,50,40.88
2023-10-18,2023-10-18,"50 SALMÃO",25-34,7,7,0,,0.03
2023-01-09,2023-01-09,"BOX CASAL",25-34,8956,9873,102,66,36.21
2023-10-15,2023-10-15,"50 MIX",55-64,7,9,0,,0.01
2022-12-23,2022-12-23,"BOX CASAL",25-34,6020,6289,72,34,34.43
2023-10-15,2023-10-15,"50 SALMÃO",55-64,7,14,0,,0.029962
2022-11-30,2022-11-30,"BOX CASAL",25-34,11404,12264,171,73,74.64
2023-10-13,2023-10-13,ACEVICHADO,65+,7,10,1,,0.049933
2022-11-29,2022-11-29,"BOX CASAL",35-44,4636,4942,98,40,43.61
2023-10-11,2023-10-11,"50 SALMÃO",18-24,7,8,0,,0.09
2022-11-28,2022-11-28,"BOX CASAL",35-44,4520,4717,78,33,44.71
2023-10-10,2023-10-10,"50 MIX",65+,7,18,1,1,0.15
2022-11-23,2022-11-23,"COMBOS MIX NOVO",35-44,2550,2770,59,37,50.79
2023-10-09,2023-10-09,ACEVICHADO,18-24,7,8,0,,0.09
2022-11-15,2022-11-15,"COMBOS MIX NOVO",25-34,3228,3546,41,27,31.78
2023-10-08,2023-10-08,"50 MIX",45-54,7,13,0,,0.1
2022-11-04,2022-11-04,"COMBOS MIX NOVO",35-44,3652,3981,60,49,50.61
2023-09-30,2023-09-30,ACEVICHADO,65+,7,7,0,,0.03
2022-10-27,2022-10-27,"COMBOS MIX NOVO",35-44,1934,2118,37,25,32.36
2023-09-30,2023-09-30,ACEVICHADO,55-64,7,35,0,,0.06
2023-09-29,2023-09-29,ACEVICHADO,65+,7,13,0,,0.04
2023-09-29,2023-09-29,ACEVICHADO,55-64,7,28,0,,0.06
2023-09-27,2023-09-27,ACEVICHADO,65+,7,9,0,,0.02
2023-09-15,2023-09-15,ACEVICHADO,55-64,7,8,0,,0.029956
2023-09-03,2023-09-03,ACEVICHADO,25-34,7,7,0,,0.006667
2023-09-02,2023-09-02,"ACEVICHADO ROLL",65+,565,622,13,8,2.99
2023-08-28,2023-08-28,ACEVICHADO,65+,7,9,0,,0.02
2023-07-19,2023-07-19,"50 SALMÃO",25-34,902,981,15,7,3.29
2023-07-18,2023-07-18,"ACEVICHADO ROLL",35-44,237,268,10,7,1.01
2023-03-11,2023-03-11,"BOX CASAL",45-54,432,466,6,32,5.05
2023-02-06,2023-02-06,"BOX CASAL",25-34,1408,1485,13,9,14.26
2023-10-26,2023-10-26,"50 SALMÃO",18-24,6,7,0,,0.02
2023-01-27,2023-01-27,"BOX CASAL",35-44,6124,6469,79,31,39.34
2023-10-25,2023-10-25,"50 MIX",55-64,6,6,0,,0.01
2023-01-26,2023-01-26,"BOX CASAL",35-44,7240,7747,102,34,56.47
2023-10-24,2023-10-24,"50 SALMÃO",18-24,6,7,0,,0.03
2023-01-24,2023-01-24,"BOX CASAL",35-44,7376,7601,81,42,55.1
2023-10-23,2023-10-23,"50 SALMÃO",25-34,6,6,0,,0
2023-01-24,2023-01-24,"BOX CASAL",25-34,9916,10505,111,44,39.24
2023-10-20,2023-10-20,ACEVICHADO,35-44,6,9,0,,0.03
2023-01-19,2023-01-19,"BOX CASAL",35-44,6904,7335,96,41,61
2023-10-18,2023-10-18,"50 SALMÃO",18-24,6,8,0,,0
2023-01-07,2023-01-07,"BOX CASAL",35-44,6248,7086,115,51,60.97
2023-10-17,2023-10-17,"50 MIX",65+,6,6,0,,0.04
2023-01-06,2023-01-06,"BOX CASAL",35-44,5664,6211,82,35,65.01
2023-10-16,2023-10-16,"Publicación de Instagram: PRA VOCÊ QUE SE AMARRA...",35-44,819,849,6,8,7.25
2022-12-20,2022-12-20,"BOX CASAL",35-44,5460,6038,110,37,43.73
2023-10-16,2023-10-16,"50 MIX",65+,6,9,0,,0.05
2022-12-10,2022-12-10,"BOX CASAL",35-44,6012,6389,80,40,55.68
2023-10-12,2023-10-12,"Publicação do Instagram: Véspera de feriado pede...",35-44,526,545,6,8,4.43
2022-12-07,2022-12-07,"BOX CASAL",25-34,6568,6968,80,25,44.33
2023-10-12,2023-10-12,"50 MIX",65+,6,8,0,,0.03
2022-12-06,2022-12-06,"BOX CASAL",35-44,5940,6338,96,57,53.09
2023-10-12,2023-10-12,ACEVICHADO,65+,6,8,0,,0.01
2022-11-28,2022-11-28,"BOX CASAL",25-34,6560,6790,111,30,40.62
2023-10-09,2023-10-09,"50 MIX",35-44,6,7,0,,0.03
2022-11-26,2022-11-26,"BOX CASAL",35-44,3038,3321,84,31,39.46
2023-10-09,2023-10-09,ACEVICHADO,35-44,6,9,0,,0.07
2022-11-15,2022-11-15,"COMBOS MIX NOVO",35-44,2764,3195,36,30,40.86
2023-10-08,2023-10-08,"50 MIX",18-24,6,6,0,,0.04
2022-10-26,2022-10-26,"COMBOS MIX NOVO",45-54,812,921,35,23,16.67
2023-10-07,2023-10-07,ACEVICHADO,65+,6,6,0,,0
2022-10-24,2022-10-24,"COMBOS MIX NOVO",35-44,2778,3089,70,30,42
2023-10-06,2023-10-06,"50 SALMÃO",45-54,217,247,23,7,4.78
2022-10-24,2022-10-24,"COMBOS MIX NOVO",25-34,2934,3419,49,26,30.26
2023-10-05,2023-10-05,"50 MIX",55-64,6,15,0,,0.05
2022-10-14,2022-10-14,"COMBOS MIX",35-44,2770,3083,37,23,41.89
2023-10-05,2023-10-05,ACEVICHADO,65+,6,10,0,,0.02
2022-10-11,2022-10-11,"COMBOS MIX",35-44,2238,2598,51,24,37.55
2023-10-04,2023-10-04,"50 SALMÃO",55-64,182,210,23,9,4.86
2023-10-01,2023-10-01,"50 MIX",65+,6,7,0,,0
2023-09-03,2023-09-03,ACEVICHADO,35-44,6,6,0,,0
2023-08-31,2023-08-31,"ACEVICHADO ROLL",65+,264,281,11,7,2.26
2023-08-30,2023-08-30,"ACEVICHADO ROLL",65+,275,282,7,6,1.69
2023-08-24,2023-08-24,"ACEVICHADO ROLL",35-44,537,581,23,7,2.422614
2023-07-25,2023-07-25,"ACEVICHADO ROLL",25-34,1464,1500,7,6,4.2
2023-07-25,2023-07-25,"50 SALMÃO",35-44,1086,1191,13,7,5.95
2023-07-25,2023-07-25,"50 SALMÃO",18-24,1614,1694,8,7,3.69
2023-07-21,2023-07-21,"ACEVICHADO ROLL",35-44,1024,1110,22,7,4.11
2023-07-19,2023-07-19,"ACEVICHADO ROLL",25-34,694,779,13,6,1.89
2023-03-20,2023-03-20,"BOX CASAL",25-34,1022,1131,6,20,11.18
2023-03-11,2023-03-11,"BOX CASAL",45-54,708,764,15,189,14.38
2023-02-13,2023-02-13,"BOX CAMARÃO",25-34,72,77,0,6,0.72
2023-02-12,2023-02-12,PASSION,45-54,13,13,0,6,0.04
2023-02-09,2023-02-09,"BOX CASAL",25-34,1450,1477,9,8,9.079786
2023-02-07,2023-02-07,"BOX CASAL",25-34,698,737,10,8,3.36994
2023-02-07,2023-02-07,"BOX CASAL",65+,363,376,24,18,8.732314
2023-02-07,2023-02-07,"BOX CASAL",55-64,395,413,8,8,6.55452
2023-11-07,2023-11-07,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,553,568,5,8,4.61
2023-02-06,2023-02-06,"BOX CASAL",35-44,1338,1423,12,6,19.05
2023-10-29,2023-10-29,"50 MIX",45-54,5,5,0,,0.01
2023-02-06,2023-02-06,"BOX CASAL",55-64,254,260,22,17,4.76
2023-10-29,2023-10-29,"50 SALMÃO",18-24,5,5,0,,0.02
2023-02-05,2023-02-05,"BOX CASAL",25-34,836,864,9,5,3.57
2023-10-28,2023-10-28,"50 MIX",65+,5,5,0,,0.02
2023-02-04,2023-02-04,"BOX CASAL",35-44,7338,7664,84,42,54.444537
2023-10-27,2023-10-27,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,899,928,4,10,4.38
2023-01-19,2023-01-19,"BOX CASAL",25-34,9576,9922,104,41,41.64
2023-10-26,2023-10-26,ACEVICHADO,18-24,5,8,0,,0.04
2023-01-18,2023-01-18,"BOX CASAL",35-44,5752,6007,86,35,53.9
2023-10-25,2023-10-25,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,362,368,5,6,3.66
2023-01-11,2023-01-11,"BOX CASAL",35-44,5748,6357,87,47,54.36
2023-10-25,2023-10-25,ACEVICHADO,25-34,5,5,0,,0.03
2023-01-08,2023-01-08,"BOX CASAL",35-44,6916,7744,119,56,65.58
2023-10-25,2023-10-25,ACEVICHADO,18-24,5,5,0,,0
2023-01-08,2023-01-08,"BOX CASAL",25-34,7804,8509,133,47,37.56
2023-10-23,2023-10-23,"50 MIX",55-64,5,7,0,,0.02
2022-12-07,2022-12-07,"BOX CASAL",35-44,4568,4921,59,31,51.6
2023-10-22,2023-10-22,ACEVICHADO,45-54,5,5,0,,0.02
2022-12-03,2022-12-03,"BOX CASAL",25-34,7592,8400,118,44,43.89
2023-10-21,2023-10-21,"50 SALMÃO",35-44,5,5,0,,0.01
2022-12-02,2022-12-02,"BOX CASAL",35-44,4704,5087,79,23,46.33
2023-10-18,2023-10-18,"50 MIX",55-64,5,5,0,,0.02
2022-11-08,2022-11-08,"COMBOS MIX NOVO",35-44,2618,2876,63,30,36.83
2023-10-18,2023-10-18,ACEVICHADO,25-34,5,5,0,,0.01
2022-10-27,2022-10-27,"COMBOS MIX NOVO",45-54,588,650,25,15,12.09
2023-10-17,2023-10-17,"Publicação do Instagram: VOCÊ JÁ COMEU HOT DE...",25-34,603,623,5,6,3.15
2022-10-26,2022-10-26,"COMBOS MIX NOVO",35-44,2826,3094,66,32,40.04
2023-10-16,2023-10-16,"50 SALMÃO",55-64,5,9,0,,0.04
2022-10-17,2022-10-17,"COMBOS MIX",45-54,1048,1143,20,12,15.94
2023-10-16,2023-10-16,ACEVICHADO,55-64,5,6,0,,0.05
2022-10-17,2022-10-17,"COMBOS MIX",35-44,3418,3841,52,30,44.56
2023-10-15,2023-10-15,ACEVICHADO,55-64,5,10,0,,0.03
2023-10-14,2023-10-14,"Publicación de Instagram: PRA VOCÊ QUE SE AMARRA...",25-34,450,462,5,6,3.35
2023-10-14,2023-10-14,ACEVICHADO,65+,5,8,1,,0.05
2023-10-10,2023-10-10,"50 SALMÃO",65+,5,7,0,,0.06
2023-10-09,2023-10-09,"50 SALMÃO",55-64,5,6,1,1,0.04
2023-10-07,2023-10-07,"50 MIX",65+,5,6,0,,0.01
2023-10-05,2023-10-05,"50 SALMÃO",65+,5,9,0,,0.02
2023-10-05,2023-10-05,"50 SALMÃO",55-64,5,12,0,,0.02
2023-10-05,2023-10-05,"50 SALMÃO",55-64,183,205,23,6,4.99
2023-10-05,2023-10-05,"50 SALMÃO",45-54,169,193,14,5,3.43
2023-10-04,2023-10-04,"50 MIX",65+,5,7,0,,0.03
2023-10-01,2023-10-01,ACEVICHADO,65+,5,6,0,,0
2023-09-15,2023-09-15,ACEVICHADO,65+,5,8,0,,0.009985
2023-09-15,2023-09-15,"ACEVICHADO ROLL",65+,163,173,8,7,1.73
2023-09-01,2023-09-01,"ACEVICHADO ROLL",65+,423,447,10,5,2.99
2023-08-24,2023-08-24,"ACEVICHADO ROLL",25-34,464,515,11,5,1.644985
2023-07-25,2023-07-25,"ACEVICHADO ROLL",18-24,1383,1432,5,5,3.36
2023-07-21,2023-07-21,"ACEVICHADO ROLL",45-54,503,536,12,5,2.19
2023-07-21,2023-07-21,"ACEVICHADO ROLL",25-34,1042,1114,19,6,3.79
2023-07-21,2023-07-21,"ACEVICHADO ROLL",18-24,355,395,9,5,1.4
2023-07-21,2023-07-21,"50 SALMÃO",45-54,717,792,16,5,4.43
2023-07-19,2023-07-19,"50 SALMÃO",45-54,647,725,22,5,3.35
2023-03-03,2023-03-03,"BOX CASAL",25-34,3002,3170,26,350,26.96
2023-02-14,2023-02-14,Ad,18-24,99,101,0,5,0.96
2023-02-10,2023-02-10,"BOX CASAL",45-54,592,647,13,5,7.57
2023-02-09,2023-02-09,"BOX CASAL",35-44,1161,1183,11,8,13.568784
2023-02-08,2023-02-08,"BOX CASAL",65+,310,326,9,7,3.8
2023-02-07,2023-02-07,"BOX CASAL",35-44,883,933,7,6,4.288098
2023-02-06,2023-02-06,"BOX CASAL",55-64,266,274,6,5,2.67
2023-02-09,2023-02-09,"BOX CASAL",35-44,1695,1780,14,9,21.301228
2023-10-28,2023-10-28,"50 SALMÃO",35-44,4,4,0,,0.02
2023-02-01,2023-02-01,"BOX CASAL",25-34,7232,7671,100,27,34.5
2023-10-28,2023-10-28,"50 SALMÃO",18-24,4,4,0,,0
2023-01-21,2023-01-21,"BOX CASAL",35-44,7228,7765,99,39,56.01
2023-10-27,2023-10-27,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,520,538,4,4,4.37
2023-01-21,2023-01-21,"BOX CASAL",25-34,9672,10279,107,31,42.35
2023-10-26,2023-10-26,"50 SALMÃO",35-44,4,4,0,,0
2023-01-17,2023-01-17,"BOX CASAL",25-34,12172,12867,126,47,44.39
2023-10-24,2023-10-24,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,544,575,4,4,3.2
2023-01-07,2023-01-07,"BOX CASAL",25-34,7424,8388,110,37,38.76
2023-10-24,2023-10-24,"50 MIX",55-64,4,4,0,,0.02
2022-12-22,2022-12-22,"BOX CASAL",35-44,4608,4952,88,49,54.71
2023-10-23,2023-10-23,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,330,342,4,4,3.16
2022-12-13,2022-12-13,"BOX CASAL",35-44,3716,3915,59,28,37.51
2023-10-23,2023-10-23,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,534,567,4,8,3.75
2022-12-13,2022-12-13,"BOX CASAL",25-34,5038,5412,66,31,30.19
2023-10-23,2023-10-23,"50 SALMÃO",35-44,4,5,0,,0.02
2022-12-09,2022-12-09,"BOX CASAL",25-34,7592,7980,88,34,41.43
2023-10-22,2023-10-22,"50 MIX",65+,4,4,0,,0.01
2022-12-06,2022-12-06,"BOX CASAL",25-34,7524,8170,86,32,42.45
2023-10-22,2023-10-22,"50 SALMÃO",45-54,4,4,0,,0
2022-12-01,2022-12-01,"BOX CASAL",25-34,1169,1192,24,8,8
2023-10-21,2023-10-21,"50 MIX",55-64,4,7,0,,0.02
2022-11-24,2022-11-24,"COMBOS MIX NOVO",35-44,929,1001,23,17,17.88
2023-10-20,2023-10-20,"50 SALMÃO",35-44,4,5,0,,0.02
2022-11-23,2022-11-23,"COMBOS MIX NOVO",25-34,2514,2844,44,31,34.24
2023-10-15,2023-10-15,"50 MIX",65+,4,6,0,,0.01
2022-11-14,2022-11-14,"COMBOS MIX NOVO",35-44,2470,2727,24,15,33.35
2023-10-15,2023-10-15,ACEVICHADO,65+,4,10,0,,0.05
2022-11-11,2022-11-11,"COMBOS MIX NOVO",25-34,2912,3199,37,26,34.9
2023-10-14,2023-10-14,"Publicación de Instagram: O REIZINHO DA CASA 👑...",25-34,481,489,4,5,2.82
2022-11-10,2022-11-10,"COMBOS MIX NOVO",35-44,2390,2621,35,23,42.45
2023-10-14,2023-10-14,"50 MIX",65+,4,6,0,,0.02
2022-10-29,2022-10-29,"COMBOS MIX NOVO",35-44,2870,3122,38,24,47.24
2023-10-14,2023-10-14,ACEVICHADO,55-64,4,6,0,,0.02
2022-10-28,2022-10-28,"COMBOS MIX NOVO",35-44,3284,3645,58,34,54.13
2023-10-11,2023-10-11,"50 MIX",65+,4,6,0,,0.01
2022-10-28,2022-10-28,"COMBOS MIX NOVO",25-34,3164,3502,43,23,34.69
2023-10-11,2023-10-11,"50 MIX",45-54,4,10,0,,0.1
2022-10-25,2022-10-25,"COMBOS MIX NOVO",25-34,3275,3532,36,19,33.083185
2023-10-09,2023-10-09,"50 MIX",45-54,4,5,0,,0
2022-10-20,2022-10-20,"COMBOS MIX",45-54,892,930,17,18,19.16
2023-10-09,2023-10-09,ACEVICHADO,65+,4,5,0,,0
2022-10-18,2022-10-18,"COMBOS MIX",45-54,854,999,18,10,16.6
2023-10-08,2023-10-08,"50 MIX",55-64,4,8,0,,0.08
2022-10-18,2022-10-18,"COMBOS MIX",35-44,2882,3303,36,29,42.19
2023-10-07,2023-10-07,"50 SALMÃO",55-64,4,6,0,,0.01
2022-10-13,2022-10-13,"COMBOS MIX",35-44,2202,2436,36,18,32.34
2023-10-06,2023-10-06,"50 SALMÃO",65+,4,6,0,,0.01
2023-10-06,2023-10-06,"50 SALMÃO",55-64,4,8,0,,0.02
2023-10-06,2023-10-06,"50 SALMÃO",55-64,240,262,17,7,5.8
2023-10-04,2023-10-04,"50 SALMÃO",55-64,4,6,0,,0.01
2023-09-24,2023-09-24,ACEVICHADO,25-34,4,5,0,,0.02
2023-09-23,2023-09-23,"50 MIX",65+,4,5,0,,0.03
2023-09-02,2023-09-02,"ACEVICHADO ROLL",55-64,460,494,11,4,1.88
2023-09-01,2023-09-01,"ACEVICHADO ROLL",55-64,325,342,4,4,1.64
2023-08-31,2023-08-31,"ACEVICHADO ROLL",55-64,216,233,10,4,1.24
2023-08-31,2023-08-31,"ACEVICHADO ROLL",55-64,336,358,8,5,1.76
2023-08-30,2023-08-30,"ACEVICHADO ROLL",55-64,201,206,6,4,1.15
2023-08-24,2023-08-24,"ACEVICHADO ROLL",45-54,331,360,10,5,1.834407
2023-07-25,2023-07-25,"ACEVICHADO ROLL",35-44,563,576,6,4,2.66
2023-07-25,2023-07-25,"50 SALMÃO",25-34,1994,2041,6,4,5.88
2023-07-20,2023-07-20,"50 SALMÃO",25-34,573,625,7,4,2.02
2023-03-31,2023-03-31,"BOX CASAL - Copy",25-34,2874,3086,32,86,32.62
2023-03-11,2023-03-11,"BOX CASAL",35-44,2594,2793,29,483,39.15
2023-02-17,2023-02-17,"BOX CASAL",45-54,612,647,16,177,14.96
2023-02-14,2023-02-14,BATAYAKI,18-24,8,8,0,4,0.02
2023-02-08,2023-02-08,"BOX CASAL",45-54,152,158,7,5,1.77
2023-02-08,2023-02-08,"BOX CASAL",45-54,372,423,7,5,2.431891
2023-02-07,2023-02-07,"BOX CASAL",45-54,411,431,11,12,9.892622
2023-02-06,2023-02-06,"BOX CASAL",45-54,409,435,21,18,8.53
2023-10-27,2023-10-27,"50 MIX",65+,3,3,0,,0.02
2023-02-06,2023-02-06,"BOX CASAL",35-44,654,725,23,6,10.67
2023-10-26,2023-10-26,ACEVICHADO,35-44,3,4,0,,0.02
2023-01-20,2023-01-20,"BOX CASAL",25-34,9952,10254,115,38,44.59
2023-10-23,2023-10-23,ACEVICHADO,18-24,3,3,0,,0.01
2023-01-14,2023-01-14,"BOX CASAL",25-34,6848,7841,83,31,40.82
2023-10-20,2023-10-20,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,190,192,3,3,1.5
2023-01-13,2023-01-13,"BOX CASAL",25-34,7668,8356,93,41,39.21
2023-10-20,2023-10-20,"50 MIX",55-64,3,4,0,,0.02
2022-12-23,2022-12-23,"BOX CASAL",35-44,4996,5155,72,28,51.7
2023-10-20,2023-10-20,ACEVICHADO,45-54,3,3,0,,0.01
2022-12-20,2022-12-20,"BOX CASAL",25-34,7620,8111,128,34,35.66
2023-10-17,2023-10-17,"Publicação do Instagram: O FAVORITO DO ZÉ COLMÉIA...",25-34,164,166,3,3,0.82
2022-12-19,2022-12-19,"BOX CASAL",35-44,1403,1454,18,16,19.56
2023-10-17,2023-10-17,"Publicação do Instagram: VOCÊ JÁ COMEU HOT DE...",35-44,401,412,3,4,3.53
2022-12-14,2022-12-14,"BOX CASAL",35-44,1516,1601,21,20,18.62
2023-10-16,2023-10-16,ACEVICHADO,65+,3,5,0,,0.02
2022-11-29,2022-11-29,"BOX CASAL",25-34,7500,7987,126,49,41.41
2023-10-14,2023-10-14,"Publicación de Instagram: O REIZINHO DA CASA 👑...",35-44,253,256,3,4,2.47
2022-11-26,2022-11-26,"BOX CASAL",25-34,4568,4971,107,28,34.52
2023-10-14,2023-10-14,"50 SALMÃO",55-64,3,3,0,,0.029959
2022-11-22,2022-11-22,"COMBOS MIX NOVO",35-44,1115,1190,22,24,19.12
2023-10-13,2023-10-13,"50 MIX",65+,3,5,0,,0.02
2022-11-18,2022-11-18,"COMBOS MIX NOVO",35-44,2290,2531,39,33,43.95
2023-10-13,2023-10-13,"50 SALMÃO",65+,3,3,0,,0.02
2022-11-14,2022-11-14,"COMBOS MIX NOVO",25-34,2722,2952,27,26,25.36
2023-10-13,2023-10-13,"50 SALMÃO",55-64,3,4,0,,0.03
2022-11-04,2022-11-04,"COMBOS MIX NOVO",45-54,1074,1185,16,10,17.9
2023-10-12,2023-10-12,"50 SALMÃO",55-64,3,3,0,,0.04
2022-11-03,2022-11-03,"COMBOS MIX NOVO",35-44,3410,3725,57,34,46.11
2023-10-11,2023-10-11,"50 SALMÃO",45-54,3,3,0,,0.01
2022-11-03,2022-11-03,"COMBOS MIX NOVO",25-34,3856,4290,65,35,31.55
2023-10-11,2023-10-11,ACEVICHADO,65+,3,4,0,,0.02
2022-11-02,2022-11-02,"COMBOS MIX NOVO",25-34,4484,5168,64,33,29.79
2023-10-11,2023-10-11,"50 MIX",65+,3,7,0,,0.05
2022-10-28,2022-10-28,"COMBOS MIX NOVO",45-54,992,1093,25,14,21.34
2023-10-11,2023-10-11,"50 MIX",55-64,3,8,0,,0.03
2022-10-25,2022-10-25,"COMBOS MIX NOVO",45-54,882,991,23,11,17.371672
2023-10-11,2023-10-11,"50 MIX",18-24,3,5,0,,0.05
2022-10-18,2022-10-18,"COMBOS MIX",25-34,3356,3737,49,17,33.47
2023-10-10,2023-10-10,"50 SALMÃO",65+,3,4,0,,0.02
2023-10-10,2023-10-10,"50 SALMÃO",55-64,3,5,0,,0.02
2023-10-09,2023-10-09,"50 SALMÃO",65+,3,4,0,,0
2023-10-08,2023-10-08,ACEVICHADO,45-54,3,3,0,,0
2023-10-05,2023-10-05,"50 MIX",65+,57,66,7,3,1.49
2023-10-05,2023-10-05,"50 SALMÃO",35-44,151,174,10,3,3.67
2023-10-04,2023-10-04,"50 SALMÃO",65+,122,142,18,4,4.7
2023-10-01,2023-10-01,"50 MIX",55-64,3,4,0,,0
2023-10-01,2023-10-01,ACEVICHADO,55-64,3,7,0,,0.01
2023-09-30,2023-09-30,"50 SALMÃO",65+,123,133,7,3,6.36
2023-09-25,2023-09-25,ACEVICHADO,55-64,3,3,0,,0.05992
2023-09-03,2023-09-03,ACEVICHADO,18-24,3,3,0,,0.013333
2023-09-02,2023-09-02,"ACEVICHADO ROLL",45-54,226,235,6,3,0.85
2023-09-01,2023-09-01,"ACEVICHADO ROLL",35-44,118,122,10,3,0.49
2023-08-25,2023-08-25,"ACEVICHADO ROLL",25-34,332,344,11,3,1.09
2023-08-07,2023-08-07,"ACEVICHADO ROLL",25-34,549,588,3,3,2.61
2023-08-05,2023-08-05,"ACEVICHADO ROLL",25-34,646,748,5,3,2.53
2023-07-25,2023-07-25,"50 SALMÃO",45-54,386,425,11,4,2.9
2023-07-19,2023-07-19,"ACEVICHADO ROLL",45-54,395,464,11,3,1.5
2023-03-09,2023-03-09,"BOX CASAL",35-44,1532,1579,16,235,19.3
2023-03-07,2023-03-07,"BOX CASAL",45-54,303,313,4,51,7.43
2023-02-15,2023-02-15,"BOX SALMÃO",25-34,38,38,1,3,0.43
2023-02-14,2023-02-14,"Publicação do Instagram: Nosso box salmão é tudo...",35-44,481,483,2,5,5.76
2023-02-14,2023-02-14,Ad,35-44,52,53,0,3,0.69
2023-02-14,2023-02-14,BATAYAKI,35-44,8,8,0,3,0.05
2023-02-13,2023-02-13,"Publicação do Instagram: Está com fome e não sabe...",25-34,870,887,3,5,6.01
2023-02-13,2023-02-13,"BOX SALMÃO",25-34,5,5,0,3,0.17
2023-02-13,2023-02-13,BATAYAKI,35-44,1,2,0,3,0.01
2023-02-12,2023-02-12,"BOX CAMARÃO",18-24,15,15,0,3,0.1
2023-02-12,2023-02-12,BATAYAKI,55-64,7,7,0,3,0
2023-02-10,2023-02-10,TEMAKIS,35-44,447,464,8,3,4.15
2023-02-10,2023-02-10,VITRINE,45-54,220,225,12,7,3.07
2023-02-10,2023-02-10,VITRINE,35-44,612,630,11,6,7.03
2023-02-10,2023-02-10,"BOX CASAL",18-24,1448,1487,9,4,5.48
2023-02-09,2023-02-09,"BOX CASAL",45-54,437,454,5,4,6.311062
2023-02-08,2023-02-08,"BOX CASAL",35-44,119,126,3,3,0.96
2023-02-07,2023-02-07,"BOX CASAL",65+,119,134,3,5,4.31
2023-02-07,2023-02-07,"BOX CASAL",55-64,443,463,23,14,8.632288
2023-02-09,2023-02-09,"BOX CASAL",25-34,1823,1900,24,7,13.125404
2023-10-29,2023-10-29,"50 MIX",55-64,2,2,0,,0.02
2023-02-07,2023-02-07,"BOX CASAL",35-44,436,454,3,2,5.413734
2023-10-27,2023-10-27,ACEVICHADO,45-54,2,2,0,,0.01
2023-02-07,2023-02-07,"BOX CASAL",25-34,551,575,5,2,5.163561
2023-10-26,2023-10-26,"50 MIX",65+,2,2,0,,0.01
2023-02-07,2023-02-07,"BOX CASAL",45-54,202,210,5,5,4.44
2023-10-25,2023-10-25,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",45-54,37,37,2,3,0.47
2023-02-06,2023-02-06,"BOX CASAL",18-24,432,493,4,2,3.77
2023-10-25,2023-10-25,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",25-34,492,505,2,4,2.5
2023-02-06,2023-02-06,"BOX CASAL",65+,112,114,6,5,2.56
2023-10-25,2023-10-25,ACEVICHADO,35-44,2,3,0,,0.02
2023-02-05,2023-02-05,"BOX CASAL",35-44,734,758,4,3,4.62
2023-10-24,2023-10-24,"Publicação do Instagram: ADIVINHA QUEM VOLTOU!...",35-44,360,372,2,4,3.23
2023-02-04,2023-02-04,"BOX CASAL",35-44,937,1010,26,12,15.702432
2023-10-24,2023-10-24,"50 MIX",65+,2,2,0,,0.01
2023-02-04,2023-02-04,"BOX CASAL",45-54,498,538,8,5,4.803635
