"Início dos relatórios","Término dos relatórios","Nome do anúncio",Idade,Alcance,Impressões,"Cliques (todos)","Engajamento com a Página","Valor usado (BRL)"
2023-09-27,2023-09-27,"50 MIX",35-44,204,351,1,1,0.76
2023-06-29,2023-06-29,AD1,45-54,202,218,1,,1.3
2023-10-01,2023-10-01,ACEVICHADO,18-24,201,259,0,,0.52
2023-10-23,2023-10-23,"50 MIX",35-44,198,310,0,,1.15
2023-10-22,2023-10-22,"50 MIX",18-24,196,365,0,1,1.1
2023-09-28,2023-09-28,"50 MIX",18-24,196,308,0,,0.69
2023-10-10,2023-10-10,ACEVICHADO,35-44,195,313,1,,0.78
2023-09-30,2023-09-30,"50 MIX",18-24,195,293,0,,0.56
2023-09-28,2023-09-28,"50 MIX",35-44,195,334,1,,0.72
2023-10-23,2023-10-23,"50 MIX",18-24,194,382,0,,1.58
2023-10-16,2023-10-16,"50 MIX",18-24,194,369,2,,1.73
2023-10-24,2023-10-24,"50 MIX",35-44,192,268,0,,1.06
2023-09-29,2023-09-29,"50 MIX",35-44,192,321,1,,0.72
2023-10-21,2023-10-21,"50 MIX",18-24,188,355,2,1,1.28
2023-10-13,2023-10-13,"50 SALMÃO",35-44,188,293,0,1,1.37
2023-09-26,2023-09-26,"50 MIX",18-24,188,284,0,,0.93
2023-10-16,2023-10-16,"50 SALMÃO",35-44,187,337,1,,1.74
2023-10-09,2023-10-09,"50 SALMÃO",35-44,187,287,1,,0.6
2023-09-04,2023-09-04,ACEVICHADO,45-54,187,317,0,1,0.55
2023-10-15,2023-10-15,"50 SALMÃO",35-44,186,313,2,1,1.65788
2023-10-13,2023-10-13,"50 MIX",35-44,186,268,0,1,1.32
2023-10-27,2023-10-27,"50 MIX",35-44,185,235,1,2,0.98
2023-09-29,2023-09-29,"50 MIX",18-24,185,278,0,,0.61
2023-09-27,2023-09-27,"50 MIX",18-24,185,272,0,,0.64
2023-10-14,2023-10-14,"50 MIX",18-24,181,356,1,,1.64
2023-09-05,2023-09-05,ACEVICHADO,45-54,179,320,0,1,0.43
2022-10-19,2022-10-19,ACHIFADO,55-64,178,201,0,,0.37
2023-10-07,2023-10-07,"50 SALMÃO",18-24,174,234,3,,0.4
2023-10-05,2023-10-05,"50 MIX",35-44,173,268,0,,0.55
2023-10-21,2023-10-21,"50 MIX",35-44,172,284,0,,0.96
2023-10-15,2023-10-15,"50 MIX",18-24,172,334,3,,1.42
2023-02-12,2023-02-12,PASSION,18-24,291,291,1,172,0.81
2023-10-06,2023-10-06,"50 SALMÃO",35-44,169,281,0,,0.68
2023-10-10,2023-10-10,"50 SALMÃO",35-44,167,213,2,1,0.52
2023-10-14,2023-10-14,"50 SALMÃO",35-44,166,287,0,1,1.318174
2023-10-08,2023-10-08,"50 SALMÃO",25-34,166,191,3,,0.43
2023-10-20,2023-10-20,"50 MIX",18-24,165,330,1,,1.03
2023-10-09,2023-10-09,ACEVICHADO,35-44,164,293,0,,0.66
2023-10-05,2023-10-05,"50 SALMÃO",18-24,164,256,0,,0.76
2023-09-23,2023-09-23,ACEVICHADO,18-24,164,186,0,1,1.1
2023-10-27,2023-10-27,"50 MIX",18-24,162,221,1,,0.92
2023-10-20,2023-10-20,"50 MIX",35-44,162,241,0,,0.75
2023-10-15,2023-10-15,ACEVICHADO,35-44,162,295,0,,1.37
2023-09-02,2023-09-02,ACEVICHADO,45-54,162,250,2,,0.478569
2023-09-06,2023-09-06,ACEVICHADO,45-54,161,273,0,,0.43
2023-10-04,2023-10-04,"50 SALMÃO",18-24,155,220,3,2,0.57
2023-09-01,2023-09-01,ACEVICHADO,45-54,155,242,0,,0.51
2023-10-06,2023-10-06,"50 MIX",35-44,152,244,2,2,0.51
2023-08-29,2023-08-29,ACEVICHADO,45-54,152,244,1,,0.45
2023-10-19,2023-10-19,"50 MIX",18-24,150,226,1,,0.9
2023-10-16,2023-10-16,ACEVICHADO,35-44,149,260,1,,1.22
2023-08-31,2023-08-31,ACEVICHADO,45-54,148,258,0,,0.37
2023-10-06,2023-10-06,"50 MIX",18-24,146,208,0,,0.33
2023-10-13,2023-10-13,"50 SALMÃO",18-24,145,258,1,,1.1
2023-10-13,2023-10-13,ACEVICHADO,18-24,145,302,0,1,1.448062
2023-10-14,2023-10-14,ACEVICHADO,35-44,143,224,0,,1.04
2023-10-15,2023-10-15,"50 SALMÃO",18-24,141,324,1,1,1.438161
2023-10-14,2023-10-14,"50 SALMÃO",18-24,141,318,1,,1.527884
2023-10-12,2023-10-12,"50 SALMÃO",18-24,141,171,2,,0.67
2023-09-25,2023-09-25,ACEVICHADO,35-44,140,152,2,,2.306912
2023-09-21,2023-09-21,ACEVICHADO,45-54,140,250,0,,0.6
2022-11-29,2022-11-29,AD1,35-44,5212,5899,442,158,43.07
2023-10-19,2023-10-19,"50 MIX",35-44,136,174,1,1,0.82
