fecha,REGIMEN ADUANERO,REFRENDO,DAU,ITEM,RUC IMPORTADOR,IMPORTADOR,PAÍS DE ORIGEN,PAIS DE PROCEDENCIA,CIUDAD EMBARQUE,VIA DE TRANSPORTE,ADUANA,PARTIDA ARANCELARIA,DESCRIPCIÓN ARANCELARIA,DESCRIPCION PRODUCTO COMERCIAL,MARCA,ESTADO DE MERCANCIA,BULTOS,CANTIDAD,UNIDAD DE MEDIDA,ADVALOREM,US$ FOB,US$ FLETE,US$ SEGURO,US$ CIF,EMBARCADOR,EMPRESA DE TRANSPORTE,PAÍS DE EMBARQUE,CONTENEDOR,AGENTE DE ADUANA,NAVE,NUMERO DE MANIFIESTO,CONOCIMIENTO EMBARQUE,DEPOSITO COMERCIAL,PESO NETO KG,TIPO AFORO,DIRECCIÓN CONSIGNATARIO,FECHA DE EMBARQUE,FECHA DE LLEGADA,FECHA INGRESO SISTEMA,FECHA PAGO,FACTURA,CARACTERISTICAS,PRODUCTO,MARCA COMERCIAL,AÑO FABRICACIÓN,MODELO MERCADERIA,US$ FOB UNIT,FECHA DE LIQUIDACIÓN,FECHA AFORO,INCOTERM,AGENCIA DE CARGA,CODIGO DE LIBERACION,CÓDIGO TNAN,NUMERO DE CARGA FINAL,FECHA SALIDA,TOTAL AJUSTES,TOTAL OTROS AJUSTES
29-09-2022,IMPORTACION A CONSUMO,055-2022-10-01139074,00000311,47,1.79099E+12,HDM ELQUITECNICA CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",LCD DIGITAL,SCILOGEX,NUEVA,35,1,NUMERO DE UNIDADES,0,248.48,12.8,2.48,263.76,"HACH COMPANY, THOMAS SCIENTIFIC",ATLAS AIR INC,UNITED STATES,0,01904682-VASCONEZ SURATY TELMO ANIBAL,N453PA,CEC20225Y022147,106205,,1.6,AFORO-AFORO AUTOMATICO,N35-182 Y SUECIA EDIFICIO ALMIRANTE CO,20220928,20220928,20220929,20220929,22575010,LCD DIGITAL,CARGA GENERAL,SCILOGEX,0,5.03115E+13,248.48,20220929,20220929,FCA,ACCESS ECUADOR CONSOLIDADORA DE CARGA ACCESSCARGO CIA. LTDA,-,0,CEC20225Y02214700370001,20220929,,
29-09-2022,IMPORTACION A CONSUMO,055-2022-10-01139074,00000311,53,1.79099E+12,HDM ELQUITECNICA CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar","ROTADOR DE TUBO DE ASADOR ANALOGICO SCILOGEX SCI-RL-E,",SCILOGEX,NUEVA,35,1,NUMERO DE UNIDADES,0,287.77,14.82,2.88,305.47,"HACH COMPANY, THOMAS SCIENTIFIC",ATLAS AIR INC,UNITED STATES,0,01904682-VASCONEZ SURATY TELMO ANIBAL,N453PA,CEC20225Y022147,106205,,1.86,AFORO-AFORO AUTOMATICO,N35-182 Y SUECIA EDIFICIO ALMIRANTE CO,20220928,20220928,20220929,20220929,22575010,"ROTADOR DE TUBO DE ASADOR ANALOGICO SCILOGEX SCI-RL-E,",CARGA GENERAL,SCILOGEX,0,8.2422E+11,287.77,20220929,20220929,FCA,ACCESS ECUADOR CONSOLIDADORA DE CARGA ACCESSCARGO CIA. LTDA,-,0,CEC20225Y02214700370001,20220929,,
05-09-2022,IMPORTACION A CONSUMO,082-2022-10-01019586,00001476,1,0791807042001,FALUSAN CIA LTDA,PERU,PERU,,CARRETERA,HUAQUILLAS,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MAQUINA MEZCLADORA HORIZONTAL SERIE 36M2208HG PARA USO AGRICOLA,GALIX TECH,NUEVA,2,1,NUMERO DE UNIDADES,0,4025,75,41,4141,GALIX TECH S.A.C.,ZZ OTRAS EMPRESAS TRANSPORTE,,0,01777851-AGUILAR MOLINA BERENICE AMBER CTL S.A.,OBB7543,CEC2022S0100128,,05901587-OPERADORA Y CONSOLIDADORA INTERNACIONAL DE CARGA ECUACARGAS S.A.,200,AFORO-AFORO DOCUMENTAL,EL PARAISO CALLE JUNIN S/N Y 24 DE MAYO,20220905,20220905,20220905,20220906,E001-482,FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE,CON TABLERO ELECTRICO,GALIX TECH,0,MHG-100X,4025,20220905,20220906,EXW,ZZ OTROS NO IDENTIFICADOS,"0416-TRANSFERENCIAS E IMPORTACIONES CON TARIFA CERO ""IVA"", APLICA TEXTO LEGAL # 5 ART. 55 LRTI (NO APLICA PARA LISTA DE BIENES DEL ANEXO 1 D. E. 1232 - R.O. 393-2S, 31-VII-2008) - Reformado por el Art. 24 de la Ley Orgánica de Simplificación y Progresivid",0,CEC2022S01001280001,20220906,,
02-09-2022,IMPORTACION COURIER,019-2022-91-01008733,,1,1.72269E+12,GUEVARA SERRANO MONICA PRISCILA,UNITED STATES,UNITED STATES,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",TRITURADORA,,NUEVA,1,1,NUMERO DE UNIDADES,0,32.23,6.24,0.32,38.79,AMAZON,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,08901063-SOLCOURIER S.A.,N301UP,CEC20225X021098,1543350,,4.16,AFORO-AFORO AUTOMATICO,AV 2DA SL 16 Y DR JUAN AURELIO JACOME BONILLA,20220830,20220830,20220902,20220905,,,,,0,,32.23,20220902,20220902,,"UNITED PARCEL SERVICE, CO.",-,0,CEC20225X02109800130033,20220906,,
09-09-2022,IMPORTACION COURIER,019-2022-91-01036945,,11,0991358692001,IMPEQUIL CIA.LTDA.,UNITED STATES,UNITED STATES,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCALDOR COMPACTO,,NUEVA,1,2,NUMERO DE UNIDADES,0,752.77,4.46,7.53,764.76,COLE PARMER,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,08901053-TMALOGISTICS S.A.,N338UP,CEC20225X021106,SH072918,,2.97,AFORO-AFORO AUTOMATICO,GUAYAQUIL / TARQUI / SOLAR 23,20220908,20220908,20220909,20220909,,,,,0,,376.38,20220909,,,"UNITED PARCEL SERVICE, CO.",-,0,CEC20225X02110600010332,20220912,,
12-09-2022,IMPORTACION COURIER,019-2022-91-01048772,,11,0992792906001,LABSUPPLY CIA. LTDA.,UNITED STATES,UNITED STATES,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR,,NUEVA,12,1,NUMERO DE UNIDADES,0,45.11,0.62,0.45,46.18,AMAZON,TAMPA CARGO S.A.,UNITED STATES,0,08777786-SERVICIOS INTEGRALES EN ADUANAS Y TRANSPORTE INTERNACIONAL S.I.A.T.I. CIA. LTDA.,N335QT,CEC2022QT300200,674941,,0.41,AFORO-AFORO AUTOMATICO,YASUNI N44 284 Y AV EL INCA,20220910,20220910,20220912,20220912,,,,,0,,45.11,20220912,20220912,,TAMPA CARGO S.A.,-,0,CEC2022QT30020000370002,20220913,,
18-09-2022,IMPORTACION COURIER,019-2022-91-01074330,,3,0992792906001,LABSUPPLY CIA. LTDA.,CHINA,UNITED STATES,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",EQUIPO DE AGITACION,,NUEVA,9,6,NUMERO DE UNIDADES,0,588,560.44,5.88,1154.32,YIWU YOUBM ACCESSORIES CO. LTD,TAMPA CARGO S.A.,UNITED STATES,0,08901071-ENTREGAS ESPECIALES ESPENTREGAS S.A.,N335QT,CEC2022QT300202,2.77671E+11,,27.56,AFORO-AFORO AUTOMATICO,URB SANTA LEONOR MZ 6 SL 11 12,20220917,20220917,20220918,20220919,,,,,0,,98,20220918,,,TAMPA CARGO S.A.,-,0,CEC2022QT30020200490083,20220919,,
19-09-2022,IMPORTACION COURIER,019-2022-91-01079532,,1,0918465287001,LALAMA JIMENEZ LUIS FERNANDO,GERMANY,GERMANY,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",TRITURADORES DE METAL,,NUEVA,3,444,NUMERO DE UNIDADES,0,3860.43,534.9,38.6,4433.93,NEAR DARK GMBH,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,08901058-UPS SCS (ECUADOR) S.A.S.,N335UP,CEC20225X021109,1Z61E0A60440928901,,20.2,AFORO-AFORO AUTOMATICO,ALONSO DE TORRES OE7-12 Y AV DEL PARQUE,20220911,20220911,20220919,20220921,,,,,0,,8.69,20220919,20220919,,"UNITED PARCEL SERVICE, CO.",-,0,CEC20225X02110900080033,20220913,,
28-09-2022,IMPORTACION COURIER,019-2022-91-01124550,,1,0993274038001,GOODWAY S.A.,UNITED STATES,UNITED STATES,MIAMI,AEREA,GUAYAQUIL AEREO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",MEZCLADOR,,NUEVA,1,1,NUMERO DE UNIDADES,0,1196.63,90,11.97,1298.6,AMAZON,"UNITED PARCEL SERVICE, CO.",UNITED STATES,0,08777786-SERVICIOS INTEGRALES EN ADUANAS Y TRANSPORTE INTERNACIONAL S.I.A.T.I. CIA. LTDA.,N339UP,CEC20225X021122,677751,,60,AFORO-AFORO AUTOMATICO,YASUNI N44-274 Y AV. EL INCA,20220927,20220927,20220928,20220928,,,,,0,,1196.63,20220928,20220928,,"UNITED PARCEL SERVICE, CO.",-,0,CEC20225X02112200040009,20220928,,
05-09-2022,IMPORTACION COURIER,055-2022-91-01019624,,2,1.7914E+12,PROVEEDORA DE INSTRUMENTOS ANALITICOS E INDUSTRIALES PROINSTRA S.A.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",PLATO CALENTADOR AGITADOR DE LAB,,NUEVA,9,3,NUMERO DE UNIDADES,0,1121.3,12.06,11.21,1144.57,OHAUS CORPORATION,TAMPA CARGO S.A.,UNITED STATES,0,08777787-SERVICIOS INTEGRALES EN ADUANAS Y TRANSPORTE INTERNACIONAL S.I.A.T.I. CIA. LTDA.,N334QT,CEC2022QT000711,673864,,8.04,AFORO-AFORO FISICO INTRUSIVO,YASUNI N44-284 Y AV EL INCA,20220905,20220905,20220905,20220906,,,,,0,,373.77,20220905,20220912,,TAMPA CARGO S.A.,-,0,CEC2022QT00071100150011,20220906,,
14-09-2022,IMPORTACION COURIER,055-2022-91-01058710,,3,1.7923E+12,PRODIGYTRADING IMPORTACIONES & EXPORTACIONES S.A.,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AGITADOR,,NUEVA,10,1,NUMERO DE UNIDADES,0,188.78,5.06,1.89,195.73,AMAZON,TAMPA CARGO S.A.,UNITED STATES,0,08777787-SERVICIOS INTEGRALES EN ADUANAS Y TRANSPORTE INTERNACIONAL S.I.A.T.I. CIA. LTDA.,N335QT,CEC2022QT000718,674969,,3.37,AFORO-AFORO DOCUMENTAL,YASUNI N44-284 Y AV. EL INCA,20220910,20220910,20220914,20220914,,,,,0,,188.78,20220914,20220919,,TAMPA CARGO S.A.,-,0,CEC2022QT00071800120005,20220915,,
24-09-2022,IMPORTACION COURIER,055-2022-91-01106456,,1,1.70832E+12,MOLINA MOLINA KLEBER RENE,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar","APARATO AGITADOR, MEZCLADOR",,NUEVA,3,2,NUMERO DE UNIDADES,0,1717.77,23.97,17.18,1758.92,AIRPORT GLOBAL,ATLAS AIR INC,UNITED STATES,0,08777801-PEDIDOS EXPRESS PEDIDOSEXPRESS CIA.LTDA.,N412MC,CEC20225Y022144,PX13487,,15.98,AFORO-AFORO AUTOMATICO,PASAJE JARDIN E10-06 Y AV 6 DE DICIEMBRE,20220924,20220924,20220924,20220926,,,,,0,,858.88,20220924,20220925,,ATLAS AIR INC,-,0,CEC20225Y02214400050135,20220926,,
27-09-2022,IMPORTACION COURIER,055-2022-91-01118782,,1,1.71907E+12,MALACATUS COBOS PAUL NICANDRO,UNITED STATES,UNITED STATES,MIAMI,AEREA,QUITO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",1 EQUIPO DE LABORATORIO PARA MESCLAR MUESTRAS DE SUELOS PARA ENSAYOS DE EDAFOLOGIA,,NUEVA,1,1,NUMERO DE UNIDADES,0,562.22,10.8,5.62,578.64,AMAZON,TAMPA CARGO S.A.,UNITED STATES,0,08901060-FLYEXPRESS S.A.,N336QT,CEC2022QT000732,MGUID06925,,7.2,AFORO-AFORO AUTOMATICO,EL TELEGRAFO OE3-35 Y AV DE LA PRENSA,20220923,20220923,20220927,20220928,,,,,0,,562.22,20220927,20220927,,TAMPA CARGO S.A.,-,0,CEC2022QT00073200240125,20220926,,
03-10-2022,IMPORTACION A CONSUMO,028-2022-10-01151704,00003409,1,1.79199E+12,THEMAC ANDINA S.A.,ITALY,ITALY,GENOA,MARITIMO,GUAYAQUIL MARITIMO,8479820000,"Para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar",AUTOCOMPACTADOR DESMONTABLE,BTE,NUEVA,1,1,NUMERO DE UNIDADES,0,18546.85,0,98,18644.85,BTE SPA,CMA-CGM ECUADOR S.A.,ITALY,1,01900013-ALAIRE CIA. LTDA.,ALEXANDRA,CEC2022CMAU0135,GEN1466168,05907400-INARPI S.A.,4950,AFORO-AFORO AUTOMATICO,PANAMERICANA NORTE E1 311 Y CALLE A,20220831,20220930,20221003,20221003,22/04060,AUTOCOMPACTADOR DESMONTABLE,AUTOCOMPACTADOR DESMONTABLE,BTE,2022,CMPL15APB40,18546.85,20221003,20221003,CFR,ZZ OTROS LIBERADORES DIRECTOS.,-,0,CEC2022CMAU01350056,20221008,1,13958.94
